result: 0.795 


Key: Tag1, Value: E28068940000401D6E135DC6
Key: Tag2, Value: E28068940000501D6E13EDC6
Key: Tag3, Value: E28068940000401D6E13B5C6
Key: Tag4, Value: E28068940000401D6E136DC6
Key: Tag5, Value: 000000000000000000001088
*SGo* -- Listen on :16311
RFID ready to run
RFID ready to run
--- 6
--- {E28068940000401D6E136DC6 17 1738680511909057 -53}
--- {E28068940000401D6E136DC6 17 1738680511947951 -53}
--- {E28068940000401D6E136DC6 17 1738680511957967 -53}
--- {E28068940000401D6E136DC6 17 1738680511993569 -53}
--- {E28068940000401D6E136DC6 17 1738680512002514 -53}
--- {E28068940000401D6E136DC6 17 1738680512047564 -56}
--- {E28068940000401D6E136DC6 17 1738680512054436 -56}
--- {E28068940000401D6E136DC6 17 1738680512091601 -56}
--- {E28068940000401D6E136DC6 17 1738680512101735 -56}
--- {E28068940000401D6E136DC6 17 1738680512139271 -56}
--- 11
--- {E28068940000401D6E136DC6 17 1738680512144562 -56}
--- {E28068940000401D6E136DC6 17 1738680512179811 -55}
--- {E28068940000401D6E136DC6 17 1738680512188150 -55}
--- {E28068940000401D6E136DC6 17 1738680512235975 -55}
--- {E28068940000401D6E136DC6 17 1738680512244445 -55}
--- {E28068940000401D6E136DC6 17 1738680512281572 -54}
--- {E28068940000401D6E136DC6 17 1738680512286809 -54}
--- {E28068940000401D6E136DC6 17 1738680512325348 -54}
--- {E28068940000401D6E136DC6 17 1738680512334133 -54}
--- {E28068940000401D6E136DC6 17 1738680512370333 -53}
--- {E28068940000401D6E136DC6 17 1738680512381419 -53}
--- 10
--- {E28068940000401D6E136DC6 17 1738680512423727 -50}
--- {E28068940000401D6E136DC6 17 1738680512433546 -49}
--- {E28068940000401D6E136DC6 17 1738680512468287 -49}
--- {E28068940000401D6E136DC6 17 1738680512479907 -50}
--- {E28068940000401D6E136DC6 17 1738680512514645 -49}
--- {E28068940000401D6E136DC6 17 1738680512525335 -49}
--- {E28068940000401D6E136DC6 17 1738680512561269 -49}
--- {E28068940000401D6E136DC6 17 1738680512569279 -50}
--- {E28068940000401D6E136DC6 17 1738680512602581 -49}
--- {E28068940000401D6E136DC6 17 1738680512611899 -49}
--- 10
--- {E28068940000401D6E136DC6 17 1738680512656781 -52}
--- {E28068940000401D6E136DC6 17 1738680512668210 -52}
--- {E28068940000401D6E136DC6 17 1738680512700340 -52}
